Neighborhood,Bar,Burger Joint,Café,Coffee Shop,French Restaurant,Italian Restaurant,Music Venue,Pizza Place,Restaurant,Total
Sportpark Middenmeer Zuid,0,0,1,0,0,0,0,0,0,1
RI Oost terrein,0,0,1,0,0,0,0,0,0,1
Nintemanterrein,0,0,1,0,0,0,0,0,0,1
Nieuwendammmerdijk West,1,0,0,0,0,0,0,0,0,1
Drieburg,0,0,0,0,0,0,1,0,0,1
Jacob Geelbuurt,0,0,0,0,0,1,0,0,0,1
De Punt,0,0,1,0,0,0,0,0,0,1
Eendrachtspark,0,0,0,0,0,1,0,0,0,1
Sloterweg e.o.,0,0,1,0,0,0,0,0,0,1
De Aker Oost,0,0,0,0,0,0,0,1,0,1
Centrumeiland,0,0,0,0,0,0,0,1,0,1
Buurt 9,0,0,0,0,0,1,0,0,0,1
Buurt 8,0,0,0,0,0,1,0,0,0,1
Venserpolder Oost,0,0,1,0,0,0,0,0,0,1
Vervoerscentrum,0,0,0,1,0,0,0,0,0,1
Vivaldi,0,0,1,0,0,0,0,0,0,1
Tuindorp Nieuwendam West,1,0,0,0,0,0,0,0,0,1
Vogelbuurt Noord,0,0,1,0,0,0,0,0,0,1
Buurt 5 Zuid,0,0,0,0,0,0,0,1,0,1
Vogeltjeswei,0,0,0,0,0,1,0,0,0,1
Hoge Dijk,1,0,0,0,0,0,0,0,0,1
Schellingwoude Oost,0,0,0,0,0,0,0,0,1,1
Buitenveldert Zuidwest,0,0,0,0,1,0,0,0,0,1
Loenermark,0,0,0,0,0,0,0,0,1,1
Spaarndammerbuurt Noordwest,0,0,0,0,0,0,0,1,0,1
Johan Jongkindbuurt,0,0,0,0,0,0,0,0,1,1
Gaasperdam Zuid,0,0,0,0,0,0,0,1,0,1
L-buurt,0,0,0,0,0,0,1,0,0,1
