,Venue,Venue Latitude,Venue Longitude,Venue Category
10935,Daalder,52.38045629963822,4.885789885547393,Café
10944,Toscanini,52.380145,4.8853728,Italian Restaurant
10947,Koevoet,52.37969017280098,4.885295208888536,Italian Restaurant
10948,De Klepel,52.37794444634737,4.88675658102199,Bar
10949,Café Hegeraad,52.37938813157093,4.886237959297431,Bar
10951,Café Lowietje,52.380305181476174,4.8824233749385355,Bar
10952,La Perla,52.37701278030078,4.881970923745858,Pizza Place
10957,De Blaffende Vis,52.37841044632213,4.883364617163837,Bar
10963,Café 't Smalle,52.37669961830621,4.88424345710036,Bar
10964,Café De Tuin,52.37712395195107,4.881926134285589,Bar
10966,Café Thijssen,52.38068742019367,4.887476517618316,Bar
10967,Moods,52.379525360480145,4.8805723120406705,Coffee Shop
10970,Restaurant Domenica,52.380125,4.887323,Italian Restaurant
10971,Café 't Papeneiland,52.38044573821837,4.8880040645599365,Bar
10973,'t Monumentje,52.37841133200442,4.883239028058023,Bar
10976,Café Sonneveld,52.37629889244355,4.882363936096183,Café
10978,Café Tabac,52.38025043835515,4.888458950810898,Bar
10985,La Trattoria Di Donna Sofia,52.37740934301828,4.88167426277513,Italian Restaurant
10988,TOKI,52.382969453995486,4.885552947198834,Coffee Shop
10989,Vesper Bar,52.382221067414456,4.887044256095964,Bar
10992,Salvatorica,52.37689707294756,4.878790678702957,Italian Restaurant
10993,Good Beans Coffee,52.382397,4.887255,Coffee Shop
10997,Restaurant Lucca,52.38205289544122,4.883558451963731,Italian Restaurant
10999,De Nieuwe Lelie,52.3752936494885,4.880842584911227,Bar
11004,De Reiger,52.37568484835338,4.882601628802506,Café
11006,Checkpoint Charlie,52.38216642986923,4.878820957859672,Bar
11007,Café P96,52.37704898243683,4.884843034415098,Bar
11014,Broer,52.37979737769574,4.876982867717743,Bar
11020,Café Brandon,52.375390860917996,4.886214739012067,Bar
11026,Lucca Due,52.38111929148052,4.89004961771619,Italian Restaurant
11034,La Perla,52.37701278030078,4.881970923745858,Pizza Place
11037,Café 't Smalle,52.37669961830621,4.88424345710036,Bar
11038,De Nieuwe Lelie,52.3752936494885,4.880842584911227,Bar
11041,Café De Tuin,52.37712395195107,4.881926134285589,Bar
11042,Café Sonneveld,52.37629889244355,4.882363936096183,Café
11044,Salvatorica,52.37689707294756,4.878790678702957,Italian Restaurant
11048,De Blaffende Vis,52.37841044632213,4.883364617163837,Bar
11055,De Reiger,52.37568484835338,4.882601628802506,Café
11057,De Klepel,52.37794444634737,4.88675658102199,Bar
11065,Winkel 43,52.37909,4.88622,Café
11067,Vlaming eten & drinken,52.380016,4.8845315,Restaurant
11068,Café Chris,52.37422411587716,4.881570166341709,Bar
11072,'t Monumentje,52.37841133200442,4.883239028058023,Bar
