,Venue,Venue Latitude,Venue Longitude,Venue Category
9201,Coffee Company,52.347471801984355,4.904674746035645,Coffee Shop
9206,Café de Rijnbar,52.34885296243105,4.905321485229328,Bar
9208,Café Riviera,52.34843306346854,4.904456265411888,Bar
9216,Casa Pino Pizzaria,52.3482021170571,4.904285629201688,Pizza Place
9221,Cafe De Amstel,52.34879241358718,4.903307609969953,Bar
9227,Ciel Bleu Restaurant,52.3487171934699,4.893712157600433,French Restaurant
9233,Il Cavallino,52.3452526,4.8951167,Italian Restaurant
9239,Broers,52.344265,4.9008555,Café
9245,Bar Bouwmeester,52.34733,4.9045715,Café
9247,Coffee Company,52.347471801984355,4.904674746035645,Coffee Shop
9248,Café de Rijnbar,52.34885296243105,4.905321485229328,Bar
9258,Café Vrijdag,52.34686117245958,4.91124295956108,Café
9263,Weesper,52.34890807533974,4.913115273155097,Café
9266,Rotisserie Rijsel,52.351527,4.912607,Restaurant
9269,Pizza Heart Bar,52.349253,4.914,Pizza Place
9270,Brazuca Coffee,52.347977,4.904318,Coffee Shop
9271,Vascobelo,52.343865277542804,4.90625175795283,Coffee Shop
9272,Café Restaurant Hesp,52.34984570685788,4.912443765148533,Bar
9274,Bar Bouwmeester,52.34733,4.9045715,Café
9275,Café de Rijnbar,52.34885296243105,4.905321485229328,Bar
9276,i Trulli,52.34454382375214,4.9058875835059785,Italian Restaurant
9278,Coffee Company,52.347471801984355,4.904674746035645,Coffee Shop
9279,La Maria,52.343971952671154,4.907247994491888,Italian Restaurant
9280,Coffee Company,52.3473563613755,4.914158576190173,Coffee Shop
9282,Café Riviera,52.34843306346854,4.904456265411888,Bar
9288,Casa Pino Pizzaria,52.3482021170571,4.904285629201688,Pizza Place
9292,Cafe De Amstel,52.34879241358718,4.903307609969953,Bar
9297,Café Vrijdag,52.34686117245958,4.91124295956108,Café
9302,Vascobelo,52.343865277542804,4.90625175795283,Coffee Shop
9303,Café Restaurant Riva,52.34346446276934,4.914914703487899,French Restaurant
9309,Weesper,52.34890807533974,4.913115273155097,Café
9311,La Maria,52.343971952671154,4.907247994491888,Italian Restaurant
9314,i Trulli,52.34454382375214,4.9058875835059785,Italian Restaurant
9316,De Rijncantine,52.343792612072306,4.905234198898949,Café
9319,Brazuca Coffee,52.347977,4.904318,Coffee Shop
9321,Bar Bouwmeester,52.34733,4.9045715,Café
9322,Coffee Company,52.3473563613755,4.914158576190173,Coffee Shop
9324,Coffee Company,52.347471801984355,4.904674746035645,Coffee Shop
9340,Thuis aan de Amstel,52.33963884800683,4.914768798346644,Café
9341,Café Restaurant Riva,52.34346446276934,4.914914703487899,French Restaurant
9348,Vascobelo,52.343865277542804,4.90625175795283,Coffee Shop
9353,L'Osteria,52.340901037286365,4.917749042533731,Italian Restaurant
9354,Amstel Boathouse,52.33841335258313,4.906703788062848,Café
9355,La Maria,52.343971952671154,4.907247994491888,Italian Restaurant
9356,De Rijncantine,52.343792612072306,4.905234198898949,Café
9358,i Trulli,52.34454382375214,4.9058875835059785,Italian Restaurant
9362,Fratelli d'Italia,52.341066,4.906863,Pizza Place
9366,Amstel Boathouse,52.33841335258313,4.906703788062848,Café
9375,De Rijncantine,52.343792612072306,4.905234198898949,Café
9377,Fratelli d'Italia,52.341066,4.906863,Pizza Place
9384,Broers,52.344265,4.9008555,Café
9391,30ML Coffee Roasters,52.34239,4.8926272,Coffee Shop
9395,Café Blek,52.34594044533849,4.899766202437229,Café
9398,De Rijncantine,52.343792612072306,4.905234198898949,Café
9399,Restaurant Vandaag,52.34039052329936,4.892688616855562,Restaurant
9424,Delikeet,52.33171390515766,4.875564825948093,Restaurant
9427,Nespresso Boutique,52.331247,4.878790999999978,Coffee Shop
9429,Bolenius,52.33602672649036,4.873447134351325,French Restaurant
9432,Werelds,52.33061374549388,4.87921657709616,Restaurant
9435,Coffee Company,52.33103756007205,4.8772164900527795,Coffee Shop
9439,Limon,52.33609852028364,4.8731197994437165,Restaurant
9454,"Bar-Restaurant ""La Brochette""",52.32466397379195,4.8676369703658295,French Restaurant
9475,"Bar-Restaurant ""La Brochette""",52.32466397379195,4.8676369703658295,French Restaurant
9502,Nespresso Boutique,52.331247,4.878790999999978,Coffee Shop
9509,ravel,52.335295,4.883872,Café
9511,Domino's Pizza,52.33191635808593,4.883892161200038,Pizza Place
9515,Restaurant Vermont,52.33497273602124,4.888624374082599,Restaurant
9538,Nespresso Boutique,52.331247,4.878790999999978,Coffee Shop
9547,Werelds,52.33061374549388,4.87921657709616,Restaurant
9557,ravel,52.335295,4.883872,Café
9558,Restaurant Vermont,52.33497273602124,4.888624374082599,Restaurant
9591,De Ysbreeker,52.35747402372425,4.906681701164431,Restaurant
9593,Pizza Bar Loulou,52.355826207122846,4.907393740755977,Pizza Place
9597,Impero Romano,52.35678596829745,4.904640002755308,Italian Restaurant
9598,La Rive,52.35983906538689,4.9049005594358945,French Restaurant
9599,Pepenero,52.35579,4.907731,Italian Restaurant
9601,Amstel Bar & Brasserie,52.36001532958312,4.904962956008391,French Restaurant
9602,De Ruyschkamer,52.35704593762679,4.9092047780429615,Coffee Shop
9603,Beter & Leuk,52.356167,4.9099565,Café
9606,Mangiassai,52.35730594550904,4.909443922353648,Italian Restaurant
9607,Café Fest,52.35955821191229,4.909901264594804,Café
9609,bij paul,52.357767,4.901996,Coffee Shop
9611,Roost Koffie,52.358201,4.913245,Coffee Shop
9616,Cafe Kees,52.355737,4.907496,Café
9619,Casa Nostra,52.3554572948612,4.903159030133888,Italian Restaurant
9629,Restaurant Oost,52.359247308175604,4.914358435980844,Italian Restaurant
9631,Bar Lempicka,52.360606789371666,4.904834265665871,Bar
9634,Le Hollandais,52.355172416771154,4.9058418112151765,French Restaurant
9638,Grand Café Carré,52.36081659523767,4.904116729394491,Restaurant
9643,L'Angoletto,52.35740054046041,4.902110860970699,Italian Restaurant
9648,Café Bloemers,52.35546591187247,4.903334380738928,Café
9654,Rotisserie Rijsel,52.351527,4.912607,Restaurant
9657,Werkplaats,52.353772320152814,4.9121954133961605,Bar
9660,Canvas,52.35395172305471,4.9118582991221,Restaurant
9662,Côte Wispe,52.352946,4.910421,Café
9666,Weesper,52.34890807533974,4.913115273155097,Café
9667,Pizza Bar Loulou,52.355826207122846,4.907393740755977,Pizza Place
9670,TOLBAR,52.35287761475078,4.906441547218405,Bar
9672,Beter & Leuk,52.356167,4.9099565,Café
9673,Pizza Heart Bar,52.349253,4.914,Pizza Place
9675,Pepenero,52.35579,4.907731,Italian Restaurant
9679,Café Restaurant Hesp,52.34984570685788,4.912443765148533,Bar
9680,Cafe Kees,52.355737,4.907496,Café
9693,Steakhouse Pizzeria Oost,52.35661036255487,4.911764189974464,Pizza Place
9700,Rotisserie Rijsel,52.351527,4.912607,Restaurant
9701,Werkplaats,52.353772320152814,4.9121954133961605,Bar
9704,Canvas,52.35395172305471,4.9118582991221,Restaurant
9706,Côte Wispe,52.352946,4.910421,Café
9711,Beter & Leuk,52.356167,4.9099565,Café
9714,Pizza Bar Loulou,52.355826207122846,4.907393740755977,Pizza Place
9718,Pepenero,52.35579,4.907731,Italian Restaurant
9719,Eddy Spaghetti,52.35396737630543,4.920498683101644,Italian Restaurant
9720,Pizza Heart Bar,52.349253,4.914,Pizza Place
9724,TOLBAR,52.35287761475078,4.906441547218405,Bar
9726,Cafe Kees,52.355737,4.907496,Café
9728,East57,52.35014026936412,4.918337247482988,Coffee Shop
9730,Café Restaurant Hesp,52.34984570685788,4.912443765148533,Bar
9740,Steakhouse Pizzeria Oost,52.35661036255487,4.911764189974464,Pizza Place
9749,Roost Koffie,52.358201,4.913245,Coffee Shop
9751,Restaurant Oost,52.359247308175604,4.914358435980844,Italian Restaurant
9756,Bar Bukowski,52.358087906192175,4.917527001366769,Bar
9757,Café Fest,52.35955821191229,4.909901264594804,Café
9761,Coffee Bru,52.35714454707232,4.917984511142178,Coffee Shop
9769,Mangiassai,52.35730594550904,4.909443922353648,Italian Restaurant
9770,Beter & Leuk,52.356167,4.9099565,Café
9771,De Ruyschkamer,52.35704593762679,4.9092047780429615,Coffee Shop
9778,De Ysbreeker,52.35747402372425,4.906681701164431,Restaurant
9781,CREA Café,52.36342522902672,4.913119736583699,Bar
9782,Rotisserie East,52.35711609116988,4.918216756218269,Burger Joint
9786,Mama Dough,52.357068896436346,4.918279484011874,Italian Restaurant
9798,Bar Bukowski,52.358087906192175,4.917527001366769,Bar
9800,Cafe Kuijper,52.3598752249956,4.925489524664014,Bar
9801,KNUS,52.36038707964888,4.925126491987584,Café
9802,Stooker Roasting Co.,52.35888671875,4.923469066619873,Coffee Shop
9803,Restaurant Elkaar,52.36327,4.91921,French Restaurant
9805,Louie Louie,52.36306485317546,4.923643009833615,Café
9810,Coffee Bru,52.35714454707232,4.917984511142178,Coffee Shop
9814,Restaurant Oost,52.359247308175604,4.914358435980844,Italian Restaurant
9818,Rotisserie East,52.35711609116988,4.918216756218269,Burger Joint
9823,Mama Dough,52.357068896436346,4.918279484011874,Italian Restaurant
9833,Coffee Bru,52.35714454707232,4.917984511142178,Coffee Shop
9834,Stooker Roasting Co.,52.35888671875,4.923469066619873,Coffee Shop
9836,Bar Bukowski,52.358087906192175,4.917527001366769,Bar
9837,Cafe Kuijper,52.3598752249956,4.925489524664014,Bar
9839,Rum Baba Cafe,52.35575643071042,4.925584217372802,Coffee Shop
9842,Spaghetteria,52.35481417420031,4.92178769771623,Italian Restaurant
9843,Rotisserie East,52.35711609116988,4.918216756218269,Burger Joint
9847,Mama Dough,52.357068896436346,4.918279484011874,Italian Restaurant
9849,KNUS,52.36038707964888,4.925126491987584,Café
9852,Rum Baba Roastery,52.356075,4.9261136,Coffee Shop
9860,Café Ruk & Pluk,52.35752379427068,4.926805217999056,Café
9862,Eddy Spaghetti,52.35396737630543,4.920498683101644,Italian Restaurant
9865,Burger 'n Shake,52.357003,4.927439,Burger Joint
9872,Nescio,52.360850320204676,4.9188946827385305,Café
